Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID2700,2700,,200,184.99,951.705,0,0,0,7.978845608,1,,31985,31985,31985,31985,6397000,0,1,Infinity,0.321089046,-0.170693088,12.38942158,5.442060141,2.891508396,2.276605046,200,74,0.458961673,0.884955752,5.232590181
ID2701,2701,96,141,336.4255319,756.1631206,0,0,0,6.699380117,1,,22259,22259,22259,22259,3138519,0,0.921236219,Infinity,0.008715973,0.041563445,7.585117091,5.970127308,-1.455138767,1.270511783,141,54,0.607633147,0.924590164,4.547620374
ID2702,2702,97,194,762.6134021,899.0670103,0,0,0,7.858251582,1,,37619,37619,37619,37619,7298086,0,1,Infinity,-0.009290019,0.02231148,10.52497596,5.857447532,-0.980559811,1.796853646,194,72,0.470269271,0.902325581,5.169298742
ID2703,2703,98,420,893.9952381,800.4738095,0,0,0,11.56244577,1,,18677,18677,18677,18677,7844340,0,1,Infinity,0.308553284,0.409042257,19.49707905,7.035632568,1.236553471,2.771190629,420,112,0.420749016,0.875912409,5.465040409
ID2704,2704,,32,0.9375,255.46875,0,0,0,3.191538243,1,,48374,48374,48374,48374,1547968,0,0.756131651,Infinity,-0.692799641,0.383917687,5.993236066,2.707390295,1.688405655,2.213657956,32,34,0.34785801,0.853333333,6.01040764
ID2705,2705,,435,95.53563218,694.9977011,0,0,0,11.76710672,1,,15616,15616,15616,15616,6792960,0,1,Infinity,0.236559646,0.155394084,19.06801159,7.354831269,1.226261674,2.592583146,435,114,0.420619515,0.898760331,5.465881637
ID2706,2706,99,170,1169.482353,729.6,0,0,0,7.35613218,1,,42752,42752,42752,42752,7267840,0,0.964207468,Infinity,0.036372306,-0.022301544,9.479782547,5.734925562,-1.029237525,1.652991385,170,64,0.521553468,0.913978495,4.908575929
ID2707,2707,100,208,1096.927885,894.2019231,0,0,0,8.13685789,1,,7426,7426,7426,7426,1544608,0,1,Infinity,-0.009203129,-0.00681069,10.57849201,6.202336425,-0.695209202,1.705565659,208,72,0.504206228,0.922394678,4.992301766
ID2708,2708,101,300,577.52,550.4933333,0,0,0,9.772050238,1,,56578,56578,56578,56578,1.70E+07,0,1,Infinity,-0.384306576,-0.007561545,14.47374808,6.845959438,-0.352867499,2.114203015,300,86,0.509722983,0.925925926,4.965212315
ID2710,2710,103,303,281.9933993,558.1980198,0,0,0,9.820788946,1,,21264,21264,21264,21264,6442992,0,1,Infinity,0.122904913,0.018569935,14.22411462,6.916093683,3.131157563,2.056668876,303,84,0.53962731,0.942457232,4.825673913
ID2711,2711,104,419,13.39618138,730.150358,0,0,0,11.54867275,1,,1298,1298,1298,1298,543862,0,0.772919605,Infinity,-0.127344587,0.094841845,17.5106821,7.583169043,2.462600072,2.309150963,419,108,0.451415405,0.922907489,5.276145262
ID2712,2712,105,312,886.1666667,298.3076923,0,0,0,9.96557497,1,,46869,46869,46869,46869,1.46E+07,0,0.97274072,Infinity,-0.093587418,0.087973828,13.83014003,7.09976731,-0.933745924,1.947970888,312,90,0.484037979,0.924444444,5.095246654
ID2713,2713,106,209,228.9090909,94.25358852,0,0,0,8.156394192,1,,40216,40216,40216,40216,8405144,0,1,Infinity,-0.03915732,-0.031344617,10.15760516,6.604752755,2.089854176,1.537923604,209,68,0.567986907,0.937219731,4.703658354
ID2714,2714,107,226,540.8274336,256.3584071,0,0,0,8.481629223,1,,59672,59672,59672,59672,1.35E+07,0,0.998880442,Infinity,-0.059633997,-0.031540105,10.76253119,6.764726014,2.262080564,1.590978136,226,70,0.579591788,0.943632568,4.656330737
ID2715,2715,108,238,389.8109244,90.0210084,0,0,0,8.703892975,1,,60186,60186,60186,60186,1.43E+07,0,1,Infinity,-0.025189424,0.002385422,11.45338971,6.749799109,-1.5111751,1.696848976,238,74,0.546164391,0.931506849,4.796707554
